Unnamed: 0,date,item,Description,Quantity,Unit Price,DISCOUNT,NET TOTAL
3376,15.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3377,16.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3378,17.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3380,18.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3382,19.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3385,22.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3386,23.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3388,25.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3389,27.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3392,28.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3395,29.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3396,30.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3397,31.08.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
